ÍNDICE,MÊS,TEMP MÁX. MÉDIA (ºC) [MÊS-1],UMIDADE REL. MÉDIA (%) [MÊS-1],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-1],VEL. MÉDIA VENTO (mps) [MÊS-1],ATING.
0.333333333333333,0.181818181818182,0.48589285,0.795743643835616,0.303384615384615,0.142276341463415,0.123301693653453
0.666666666666667,0.636363636363636,0.64387095,0.332633671232877,0,0.544190975609756,0.005036525760735
0.666666666666667,0.545454545454545,0.50533335,0.491210041095891,0,0.439421463414634,0.010638827646465
1,0.272727272727273,0.50290325,0.694542643835616,0.321692307692308,0.206888536585366,0.194521991636115
0.333333333333333,0.818181818181818,0.6525,0.481963465753425,0.124153846153846,0.209756097560976,0.011662116674177
0.333333333333333,0.090909090909091,0.5033871,0.753866547945205,0.246307692307692,0.135326585365854,0.018288319329959
0.666666666666667,0.818181818181818,0.716,0.423287671232877,0.126153846153846,0.633892926829268,0.013752359565803
0.333333333333333,0.545454545454545,0.5355,0.605593602739726,0.061692307692308,0.177777804878049,0.03313101327891
0,0,0.4753226,0.770216520547945,0.465230769230769,0.199580487804878,0.146032139463792
0.666666666666667,0.363636363636364,0.50133335,0.779452054794521,0.276615384615385,0.39322487804878,0.021287899053913
0,0.545454545454545,0.5715,0.457534246575342,0,0.280758780487805,0.00679310907016
0,0.272727272727273,0.37741935,0.84136102739726,0.453384615384615,0.117492682926829,0.106787674582903
1,0.454545454545455,0.5751613,0.59953601369863,0.052769230769231,0.190977804878049,0.042043658134607
0,0.818181818181818,0.756,0.235958904109589,0,0.419241219512195,0.018796215970587
0.333333333333333,1,0.5095,0.744748863013699,0.432307692307692,0.265311707317073,0.013183199950369
0,1,0.48016665,0.719292232876712,0.458461538461538,0.14442,0.010597250149449
0.666666666666667,0.181818181818182,0.40285715,0.857876712328767,0.432461538461538,0.195992926829268,0.029576992490835
0.333333333333333,0.363636363636364,0.5135,0.757990863013699,0.162,0.220596097560976,0.08355822321484
1,0.818181818181818,0.78216665,0.169406397260274,0,0.404065121951219,0.038883883798807
0,0.181818181818182,0.4027586,0.825224369863014,0.419538461538461,0.135049512195122,0.12200423890006
0.666666666666667,0.636363636363636,0.67451615,0.378479890410959,0,0.878520243902439,0.008477481924125
1,0.181818181818182,0.3567857,0.872064575342466,0.897230769230769,0.256387804878049,0.415111051315686
1,0.090909090909091,0.48048385,0.781926643835616,0.561692307692308,0.22720487804878,0.418754835020686
0.333333333333333,0.636363636363636,0.61596775,0.417587273972603,0,0.261736097560976,0.02279413713589
0,0.181818181818182,0.4262069,0.780585739726027,0.381230769230769,0.116904878048781,0.205105961085636
0.333333333333333,0.818181818181818,0.75983335,0.347602739726027,0.016153846153846,0.341734390243902,0.009111917612755
0.666666666666667,0.090909090909091,0.43774195,0.824016794520548,0.448307692307692,0.244689268292683,0.036547366517338
1,0.727272727272727,0.73612905,0.260826342465753,0,0.335693658536585,0.059919427493243
0.666666666666667,0.818181818181818,0.77516665,0.196118726027397,0.027692307692308,0.540921463414634,0.003722649475326
0,0.545454545454545,0.59266665,0.529337904109589,0.013538461538462,0.302439024390244,0.028710703515512
0.666666666666667,0.545454545454545,0.64183335,0.425342465753425,0.000307692307692,0.378048780487805,0.012919783473188
1,0,0.4866129,0.748674328767123,0.347692307692308,0.233411951219512,0.241330597692644
0,0.909090909090909,0.70241935,0.455589931506849,0.048153846153846,0.287175365853659,0.023133804271492
0.333333333333333,1,0.517,0.721232876712329,0.264615384615385,0.146883414634146,0.06202125685812
0,0.636363636363636,0.64274195,0.344343794520548,0,0.382900487804878,0.015697938612798
0,0.272727272727273,0.4487097,0.826778616438356,0.186153846153846,0.175190243902439,0.161730078076589
0.333333333333333,0.454545454545455,0.4237097,0.772315506849315,0.438615384615385,0.062942682926829,0.047973707227862
0.666666666666667,0.272727272727273,0.4553226,0.80070702739726,0.559384615384615,0.259427804878049,0.021853064515522
0.666666666666667,0.454545454545455,0.43225805,0.752872287671233,0.240461538461538,0.225806341463415,0.023767593678273
0,1,0.48216665,0.737899547945206,0.501846153846154,0.283739756097561,0.031189325401744
0.666666666666667,0.272727272727273,0.4069355,0.816946534246575,0.619846153846154,0.206401951219512,0.059079447143135
0,0.909090909090909,0.71387095,0.429518342465753,0.152153846153846,0.349529024390244,0.010597250149449
0.333333333333333,0.181818181818182,0.42392855,0.82081702739726,0.544307692307692,0.128048780487805,0.032070820853985
0.666666666666667,0,0.40258065,0.827883342465753,0.666153846153846,0.163650731707317,0.02788149610601
1,0.454545454545455,0.54790325,0.616217410958904,0.015076923076923,0.166535609756098,0.19569430043006
0.666666666666667,0.363636363636364,0.36283335,0.844748863013699,0.621230769230769,0.156910487804878,0.05409957037245
1,0.272727272727273,0.4180645,0.846995136986302,0.542153846153846,0.170731707317073,0.110277244216288
