ÍNDICE,MÊS,TEMP MÁX. MÉDIA (ºC) [MÊS-1],UMIDADE REL. MÉDIA (%) [MÊS-1],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-1],VEL. MÉDIA VENTO (mps) [MÊS-1],ATING.
0.333333333333333,0.272727272727273,0.4582258,0.817388424657534,0.568307692307692,0.20010487804878,0.135321670078789
0,0.090909090909091,0.3719355,0.854175876712329,0.582769230769231,0.227904634146341,0.207378031148015
0.333333333333333,0,0.4269355,0.798276630136986,0.26,0.161814878048781,0.020143656073578
0.666666666666667,0.818181818181818,0.65,0.431621,0.305076923076923,0.375344634146341,0.006790741050935
0,0.818181818181818,0.76266665,0.29189497260274,0.018615384615385,0.401626097560976,0.010325525786642
0.666666666666667,0.363636363636364,0.5955,0.658675794520548,0.127384615384615,0.197831951219512,0.088686649265105
0.666666666666667,0.181818181818182,0.54375,0.737035219178082,0.317076923076923,0.130371707317073,0.116934989401398
1,0.545454545454545,0.58033335,0.407534246575342,0,0.489621463414634,0.011211642169229
0,0.090909090909091,0.42612905,0.796288109589041,0.450307692307692,0.070285853658537,0.161404271506984
0.666666666666667,1,0.52116665,0.720547945205479,0.294,0.431436341463415,0.026185999721185
0.333333333333333,0.545454545454545,0.64083335,0.541324205479452,0.037230769230769,0.205961951219512,0.013764811712886
1,0.636363636363636,0.6085484,0.37593901369863,0.003384615384615,0.419879268292683,0.068418637066753
0.666666666666667,1,0.499,0.723059356164383,0.202461538461538,0.24119243902439,0.057721298932948
1,0.727272727272727,0.685,0.21332302739726,0,0.640568292682927,0.002522619488077
1,1,0.42416665,0.793036534246575,0.323846153846154,0.137669268292683,0.011898893402914
1,0.909090909090909,0.64951615,0.477132123287671,0.124461538461538,0.234667317073171,0.017658336416535
0,0.363636363636364,0.45166665,0.788698630136986,0.366461538461538,0.13306243902439,0.076082821585784
0.666666666666667,0.454545454545455,0.5833871,0.659854178082192,0.080461538461539,0.317862682926829,0.021853064515522
0,0.727272727272727,0.6766129,0.242156424657534,0,0.370096097560976,0.00597793598174
0.333333333333333,0.909090909090909,0.4916129,0.750441890410959,0.328769230769231,0.154209268292683,0.037901879191073
0.666666666666667,0,0.40596775,0.793636767123288,0.518,0.232403658536585,0.013355124066839
0.333333333333333,0.454545454545455,0.5798387,0.67079098630137,0.038307692307692,0.230527073170732,0.043233141013711
1,0.909090909090909,0.57209675,0.638422452054795,0.350923076923077,0.27117756097561,0.035059239490728
1,1,0.51233335,0.672260273972603,0.310307692307692,0.179945853658537,0.019059791687689
0.333333333333333,0.909090909090909,0.64096775,0.566504643835616,0.176153846153846,0.427484878048781,0.014928035237918
0.333333333333333,0.272727272727273,0.45612905,0.81517897260274,0.259538461538461,0.079167804878049,0.034986350022529
0.666666666666667,0.909090909090909,0.62951615,0.631462657534247,0.341692307692308,0.280881219512195,0.016204474186711
0,0.454545454545455,0.5514516,0.640631904109589,0.097384615384615,0.233411951219512,0.051431404139299
0,0.454545454545455,0.5137097,0.660296068493151,0.052307692307692,0.110411707317073,0.035052442802022
