ANO,ÍNDICE,MÊS,TEMP MÁX. MÉDIA (ºC) [MÊS-1],UMIDADE REL. MÉDIA (%) [MÊS-1],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-1],VEL. MÉDIA VENTO (mps) [MÊS-1],ATING.
2012,0,9,36.374194,38.685484,0,2.44086,0.016937249555914
2012,0,10,38.12,39.225,0,1.718889,0.037592431941174
2012,0,11,37.048387,55.258065,31.3,1.177419,0.046267608542983
2012,0,12,32.643333,75.866667,326.2,1.163333,0.062378650803487
2013,1,1,33.33871,75.862903,227.9,0.804301,0.115934611328246
2013,1,2,31.658065,81.475806,289.1,1.175269,0.209767975680873
2013,1,3,32.717857,80.089286,197.2,0.583333,0.246603387306905
2013,1,4,32.164516,81.669355,369.4,0.82043,0.270643340157578
2013,1,5,33.27,77.333333,105.3,0.904444,0.167116446429679
2013,1,6,34.596774,70.967742,24.9,0.945161,0.086466282027421
2013,1,7,35.816667,61.516667,24.2,0.844444,0.027529623425771
2013,1,8,37.148387,50.282258,0,1.460215,0.025978658725727
2013,1,9,38.322581,42,0.2,1.389247,0.019387058750543
2013,1,10,38.196667,47.375,10.5,1.401111,0.01822383522551
2013,1,11,35.819355,63.354839,114.5,1.752688,0.029856070475836
2013,1,12,33.19,76.366667,281,1.087778,0.026366399900738
2014,2,1,31.051613,82.435484,433,0.670968,0.05576299221202
2014,2,2,31.754839,82.153226,291.4,1.003226,0.073094733034675
2014,2,3,31.057143,84.625,281.1,0.803571,0.05915398498167
2014,2,4,32.106452,80.451613,363.6,1.063654,0.043706129031043
2014,2,5,33.026667,78.9,179.8,1.612222,0.042575798107826
2014,2,6,34.667742,70.169355,52.3,1.303237,0.043706129031043
2014,2,7,35.763333,58.175,0,2.737613,0.017331740822655
2014,2,8,36.490323,49.629032,0,3.601933,0.016954963848249
2014,2,9,37.993548,42.846774,0,3.417204,0.013187194104194
2014,2,10,37.32,52.9,82,2.598961,0.027504719131604
2014,2,11,35.767742,60.056452,155.4,2.804301,0.030895711901254
2014,2,12,33.423333,74.6,191.1,1.768889,0.05237199944237
2015,3,1,32.467742,76.467742,247.2,1.10295,0.059033608823508
2015,3,2,32.774194,77.604839,152.6,1.535434,0.145934014358734
2015,3,3,32.078571,80.294643,201.3,1.246988,0.323401509207043
2015,3,4,32.306452,80.233871,145.3,1.476391,0.253734517427748
2015,3,5,31.616667,81.566667,308,0.95588,0.2137676642491
2015,3,6,34.5,71.185484,103.7,1.790134,0.152534045158877
2015,3,7,35.82069,54.766667,0,2.419949,0.086167068779654
2015,3,8,36.210714,49.185484,0,2.326087,0.059033608823508
2015,3,9,38.275862,38.951613,0,2.368513,0.029333470222861
2015,3,10,38.18,47.016667,97.9,1.022424,0.036666837778576
2015,3,11,37.136667,56.024194,132.9,1.190703,0.081400379868439
2015,3,12,34.626667,72.583333,102.6,0.867641,0.14886736138102
2016,0,1,34.603333,70.548387,149.4,1.210312,0.199388256817792
2016,0,2,31.483871,82.298387,429.6,1.468829,0.149005202675662
2016,0,3,35.458824,60.982759,4.8,1.278255,0.097550168658167
2016,0,4,32.903333,78.741935,161.7,0.868817,0.084686410153793
2016,0,5,35.144828,69.6,80.5,0.948501,0.065033445772111
2016,0,6,36.977419,59.685484,2.6,1.373285,0.027156823509233
2016,0,7,35.739286,56.866667,18.2,1.925017,0.012149105254131
2016,0,8,37.377778,42.330645,0,2.117207,0.007861185752673
2016,0,9,38.878571,38.693548,0,2.459241,0.008218512377794
2016,0,10,37.196667,51.716667,100.1,2.541184,0.010719798753645
2016,0,11,36.687097,58.604839,38,1.616141,0.01679435138071
2016,0,12,33.938462,68.658333,180.9,0.971432,0.026084843633869
2017,1,1,33.296774,75.5,254.1,0.92043,0.036612538225233
2017,1,2,32.145161,81.717742,424.1,0.862366,0.06625125964566
2017,1,3,31.046429,82.107143,288.8,0.947059,0.056139225278691
2017,1,4,32.483871,80.701613,207.4,0.789581,0.070435549728544
2017,1,5,33.603333,77.983333,163.9,0.618889,0.084034492497917
2017,1,6,35.629032,66.419355,17.8,1.072222,0.03277693898259
2017,1,7,36.12,53.825,0,2.191753,0.013598942769372
2017,1,8,35.154839,44.33871,0,3.331005,0.01046072520721
2017,1,9,39.132,42.056452,0,1.9088,0.003835599242643
2017,1,10,39.548276,32.925,0,3.684119,0.014993706130334
2017,1,11,38.283871,47.548387,21.6,2.006223,0.007671198485287
2017,1,12,33.626667,72.491667,197.1,1.17178,0.013250251929132
