ANO,ÍNDICE,MÊS,TEMP MÁX. MÉDIA (ºC) [MÊS-1],UMIDADE REL. MÉDIA (%) [MÊS-1],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-1],VEL. MÉDIA VENTO (mps) [MÊS-1],ATING.
0.5,1,0,0.4733871,0.746133452054795,0.380307692307692,0.269012195121951,0.029516804411754
0.5,1,0.090909090909091,0.4887097,0.761710123287671,0.234769230769231,0.374496097560976,0.072967007179367
0.5,1,0.181818181818182,0.45392855,0.798556753424657,0.309692307692308,0.304143414634146,0.161700754603521
0.5,1,0.272727272727273,0.4653226,0.797724260273972,0.223538461538462,0.360095365853659,0.126867258713874
0.5,1,0.363636363636364,0.43083335,0.815981739726027,0.473846153846154,0.233141463414634,0.10688383212455
0.5,1,0.454545454545455,0.575,0.673773753424658,0.159538461538462,0.436618048780488,0.076267022579439
0.5,1,0.545454545454545,0.6410345,0.448858452054794,0,0.590231463414634,0.043083534389827
0.5,1,0.636363636363636,0.6605357,0.372403890410959,0,0.567338292682927,0.029516804411754
0.5,1,0.727272727272727,0.7637931,0.232213876712329,0,0.577686097560976,0.014666735111431
0.5,1,0.818181818181818,0.759,0.342694068493151,0.150615384615385,0.249371707317073,0.018333418889288
0.5,1,0.909090909090909,0.70683335,0.466084849315068,0.204461538461538,0.290415365853659,0.04070018993422
0.5,1,1,0.58133335,0.692922369863014,0.157846153846154,0.211619756097561,0.07443368069051
0.533333333333333,0,0,0.58016665,0.665046397260274,0.229846153846154,0.295198048780488,0.099694128408896
0.533333333333333,0,0.090909090909091,0.42419355,0.826005301369863,0.660923076923077,0.358250975609756,0.074502601337831
0.533333333333333,0,0.181818181818182,0.6229412,0.534010397260274,0.007384615384615,0.311769512195122,0.048775084329084
0.533333333333333,0,0.272727272727273,0.49516665,0.777286780821918,0.248769230769231,0.211906585365854,0.042343205076897
0.533333333333333,0,0.363636363636364,0.6072414,0.652054794520548,0.123846153846154,0.231341707317073,0.032516722886056
0.533333333333333,0,0.454545454545455,0.69887095,0.516239506849315,0.004,0.33494756097561,0.013578411754617
0.533333333333333,0,0.545454545454545,0.6369643,0.477625575342466,0.028,0.469516341463415,0.006074552627066
0.533333333333333,0,0.636363636363636,0.7188889,0.27850198630137,0,0.516391951219512,0.003930592876337
0.533333333333333,0,0.727272727272727,0.79392855,0.228678739726027,0,0.59981487804878,0.004109256188897
0.533333333333333,0,0.818181818181818,0.70983335,0.407077630136986,0.154,0.619800975609756,0.005359899376823
0.533333333333333,0,0.909090909090909,0.68435485,0.501436150684931,0.058461538461539,0.394180731707317,0.008397175690355
0.533333333333333,0,1,0.5469231,0.639155246575343,0.278307692307692,0.236934634146341,0.013042421816935
0.566666666666667,0.333333333333333,0,0.5148387,0.732876712328767,0.390923076923077,0.224495121951219,0.018306269112617
0.566666666666667,0.333333333333333,0.090909090909091,0.45725805,0.818051260273973,0.652461538461539,0.210333170731707,0.03312562982283
0.566666666666667,0.333333333333333,0.181818181818182,0.40232145,0.823385520547945,0.444307692307693,0.23099,0.028069612639346
0.566666666666667,0.333333333333333,0.272727272727273,0.47419355,0.804131684931507,0.319076923076923,0.192580731707317,0.035217774864272
0.566666666666667,0.333333333333333,0.363636363636364,0.53016665,0.76689497260274,0.252153846153846,0.150948536585366,0.042017246248959
0.566666666666667,0.333333333333333,0.454545454545455,0.6314516,0.608484315068493,0.027384615384615,0.26151756097561,0.016388469491295
0.566666666666667,0.333333333333333,0.545454545454545,0.656,0.435958904109589,0,0.534573902439024,0.006799471384686
0.566666666666667,0.333333333333333,0.636363636363636,0.60774195,0.306009726027397,0,0.812440243902439,0.005230362603605
0.566666666666667,0.333333333333333,0.727272727272727,0.8066,0.274745917808219,0,0.465560975609756,0.001917799621322
0.566666666666667,0.333333333333333,0.818181818181818,0.8274138,0.149657534246575,0,0.898565609756098,0.007496853065167
0.566666666666667,0.333333333333333,0.909090909090909,0.76419355,0.349977904109589,0.033230769230769,0.489322682926829,0.003835599242644
0.566666666666667,0.333333333333333,1,0.53133335,0.691666671232877,0.303230769230769,0.2858,0.006625125964566
