MÊS,TEMP MÁX. MÉDIA (ºC) [MÊS-1],UMIDADE REL. MÉDIA (%) [MÊS-1],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-1],VEL. MÉDIA VENTO (mps) [MÊS-1],ATING. [MES-1],ATING. [MES-2],ATING. [MES-0]
1,31.119355,79.935484,336.7,0.952855,0.012009703840703,0.001921552614513,0.026710248133678
2,33.112903,72.629032,174.5,1.292807,0.026710248133678,0.012009703840703,0.046629755216421
3,31.453571,80.705357,313.8,0.963783,0.046629755216421,0.026710248133678,0.10638827646465
4,31.13871,81.637097,402.9,0.846248,0.10638827646465,0.046629755216421,0.11815889428627
5,30.256667,83.666667,403.8,0.643333,0.11815889428627,0.10638827646465,0.108199140744899
6,31.645161,76.959677,156.3,0.925806,0.108199140744899,0.11815889428627,0.047535187356546
7,33.106667,57.858333,0,1.801628,0.047535187356546,0.108199140744899,0.02127765529293
8,34.106452,51.137097,0,1.701945,0.02127765529293,0.047535187356546,0.006790741050935
9,36.435484,41.629032,1.7,2.184946,0.006790741050935,0.02127765529293,0.006790741050935
10,36,53.508333,198.3,1.538913,0.006790741050935,0.006790741050935,0.01358148210187
11,33.674194,71.983871,140.4,1.012903,0.01358148210187,0.006790741050935,0.064285681948852
12,32.98,74.783333,131.6,0.988889,0.064285681948852,0.01358148210187,0.115442597865896
1,32.732258,76.653226,226,0.956989,0.115442597865896,0.064285681948852,0.482661195385288
2,32.609677,79.080645,365.1,0.93154,0.482661195385288,0.115442597865896,0.837509670041371
3,30.135714,85.660714,583.2,1.05119,0.837509670041371,0.482661195385288,0.830222102631372
4,33.058065,72.701613,209.1,0.848243,0.830222102631372,0.837509670041371,0.38904398327223
5,32.823333,77.558333,84.2,0.53779,0.38904398327223,0.830222102631372,0.215263529649188
6,34.503226,65.766129,34.3,0.783009,0.215263529649188,0.38904398327223,0.084087316269214
7,34.606667,51.75,0,2.007448,0.084087316269214,0.215263529649188,0.022423284338457
8,35.519355,46.112903,0,1.557187,0.022423284338457,0.084087316269214,0.004484656867691
9,36.7,37.572581,0,2.62633,0.004484656867691,0.022423284338457,0.005045238976153
10,37.323333,42.516667,55.1,2.372222,0.005045238976153,0.004484656867691,0.022983866446919
11,35.990323,56.830645,80.9,0.962136,0.022983866446919,0.005045238976153,0.03531667283307
12,33.246667,71.075,201.7,0.737778,0.03531667283307,0.022983866446919,0.038119583375377
1,32.793548,74.33871,130.1,0.643011,0.038119583375377,0.03531667283307,0.299983696538232
2,31.522581,80.129032,292.7,0.288172,0.299983696538232,0.038119583375377,0.322808543013967
3,31.055172,82.241379,272.7,0.553703,0.322808543013967,0.299983696538232,0.24400847780012
4,30.548387,83.419355,294.7,0.48172,0.24400847780012,0.322808543013967,0.213575349165806
5,32.033333,79.575,238.2,0.545556,0.213575349165806,0.24400847780012,0.152165643171567
6,33.274194,70.201613,34,0.452688,0.152165643171567,0.213575349165806,0.070104885604043
7,34.43,55.4,0,1.151111,0.070104885604043,0.152165643171567,0.013586218140319
8,34.63871,47.725806,0,1.368817,0.013586218140319,0.070104885604043,0.010325525786642
9,36.532258,39.677419,0,1.517394,0.010325525786642,0.013586218140319,0.01195587196348
10,38.253333,43.308333,12.1,1.646667,0.01195587196348,0.010325525786642,0.020651051573284
11,37.277419,53.354839,98.9,1.433069,0.020651051573284,0.01195587196348,0.021194500298897
12,32.603333,74.508333,298,0.592122,0.021194500298897,0.020651051573284,0.021194500298897
1,31.53871,80.274194,169,0.663441,0.021194500298897,0.021194500298897,0.040287312147155
2,33.067742,77.032258,160.1,0.554839,0.040287312147155,0.021194500298897,0.036576638659917
3,31.478571,81.919643,353.8,0.525,0.036576638659917,0.040287312147155,0.06414164170797
4,32.122581,81.508065,168.7,0.324588,0.06414164170797,0.036576638659917,0.069972700045058
5,31.37,82.183333,130.4,0.324444,0.069972700045058,0.06414164170797,0.088526067481248
6,31.474194,78.379032,285.1,0.258065,0.088526067481248,0.069972700045058,0.095947414455724
7,33.71,66.208333,40.1,0.728889,0.095947414455724,0.088526067481248,0.06626202655782
8,35.319355,52.483871,0,1.073118,0.06626202655782,0.095947414455724,0.04558827427178
9,36.593548,45.66129,0.4,1.295699,0.04558827427178,0.06626202655782,0.04346788942193
10,36.05,57.183333,80.7,0.86,0.04346788942193,0.04558827427178,0.023324233348353
11,32.832258,76.782258,213.7,0.632258,0.023324233348353,0.04346788942193,0.075803758382146
12,33.34,74.65,172,0.602222,0.075803758382146,0.023324233348353,0.124042513716239
1,32.577419,77.475806,316.3,0.74086,0.124042513716239,0.075803758382146,0.187008391289876
2,32.796667,78.975806,436.9,0.575269,0.187008391289876,0.124042513716239,0.193139813955118
3,33.875,75.803571,206.1,0.534524,0.193139813955118,0.187008391289876,0.233869978802796
4,33.183871,81.08871,462.5,0.662366,0.233869978802796,0.193139813955118,0.228176514899357
5,34.91,70.083333,82.8,0.811111,0.228176514899357,0.233869978802796,0.17737329853021
6,35.513333,66.58871,25.6,0.565591,0.17737329853021,0.228176514899357,0.081022370933553
7,35.836667,53.05,0.2,1.55,0.081022370933553,0.17737329853021,0.025839566946376
8,35.877419,46.282258,0,2.231183,0.025839566946376,0.081022370933553,0.010073051521469
9,37.229032,36.5,0,1.787097,0.010073051521469,0.025839566946376,0.003065711332621
10,38.503333,36.316667,18,2.217778,0.003065711332621,0.010073051521469,0.007445298950651
11,35.590323,68.096774,222.1,1.151613,0.007445298950651,0.003065711332621,0.032408948373421
12,32.92,75.766667,189.4,0.87,0.032408948373421,0.007445298950651,0.031095072088012
1,31.932258,78.25,162,0.88172,0.031095072088012,0.032408948373421,0.118139013071784
2,31.074194,83.177419,354.2,0.832258,0.118139013071784,0.031095072088012,0.11856397355046
3,30.557143,84.821429,327.3,0.538095,0.11856397355046,0.118139013071784,0.189532373489265
4,31.36129,83.830645,352.4,0.7,0.189532373489265,0.11856397355046,0.220554488432576
5,32.513333,78.758333,218.8,0.926667,0.220554488432576,0.189532373489265,0.461082119362899
6,33.958065,66.983871,9.8,0.682796,0.461082119362899,0.220554488432576,0.39138860086012
7,35.006667,55.825,0,1.055556,0.39138860086012,0.461082119362899,0.205255911200258
8,35.170968,49.443548,2.2,1.721505,0.205255911200258,0.39138860086012,0.136837274133506
9,37.722581,41.040323,0,1.376344,0.136837274133506,0.205255911200258,0.119838854986486
10,38.643333,34.366667,0,1.656667,0.119838854986486,0.136837274133506,0.077767767597613
11,34.441935,68.604839,228.1,1.111828,0.077767767597613,0.119838854986486,0.070118478981455
12,31.483333,79.891667,210.5,0.564444,0.070118478981455,0.077767767597613,0.023797786805827
1,32.506452,78.225806,302.4,0.81828,0.023797786805827,0.070118478981455,0.292064278927583
2,30.43871,84.354839,378.8,0.934409,0.292064278927583,0.023797786805827,0.41475606229603
3,31.524138,78.982759,247.8,0.47931,0.41475606229603,0.292064278927583,0.410211922171273
4,31.974194,82.354839,121,0.71828,0.410211922171273,0.41475606229603,0.323460156153179
5,33.636667,76.383333,92.8,0.923333,0.323460156153179,0.410211922171273,0.235469079191969
6,34.029032,68.766129,63.3,0.956989,0.235469079191969,0.323460156153179,0.102862808278597
7,34.853333,60.641667,8.8,1.24,0.102862808278597,0.235469079191969,0.057421407031024
8,35.854839,47.137097,0,1.569892,0.057421407031024,0.102862808278597,0.031395877225596
9,36.374194,38.685484,0,2.44086,0.031395877225596,0.057421407031024,0.016937249555914
10,38.12,39.225,0,1.718889,0.016937249555914,0.031395877225596,0.037592431941174
11,37.048387,55.258065,31.3,1.177419,0.037592431941174,0.016937249555914,0.046267608542983
12,32.643333,75.866667,326.2,1.163333,0.046267608542983,0.037592431941174,0.062378650803487
1,33.33871,75.862903,227.9,0.804301,0.062378650803487,0.046267608542983,0.115934611328246
2,31.658065,81.475806,289.1,1.175269,0.115934611328246,0.062378650803487,0.209767975680873
3,32.717857,80.089286,197.2,0.583333,0.209767975680873,0.115934611328246,0.246603387306905
4,32.164516,81.669355,369.4,0.82043,0.246603387306905,0.209767975680873,0.270643340157578
5,33.27,77.333333,105.3,0.904444,0.270643340157578,0.246603387306905,0.167116446429679
6,34.596774,70.967742,24.9,0.945161,0.167116446429679,0.270643340157578,0.086466282027421
7,35.816667,61.516667,24.2,0.844444,0.086466282027421,0.167116446429679,0.027529623425771
8,37.148387,50.282258,0,1.460215,0.027529623425771,0.086466282027421,0.025978658725727
9,38.322581,42,0.2,1.389247,0.025978658725727,0.027529623425771,0.019387058750543
10,38.196667,47.375,10.5,1.401111,0.019387058750543,0.025978658725727,0.01822383522551
11,35.819355,63.354839,114.5,1.752688,0.01822383522551,0.019387058750543,0.029856070475836
12,33.19,76.366667,281,1.087778,0.029856070475836,0.01822383522551,0.026366399900738
1,31.051613,82.435484,433,0.670968,0.026366399900738,0.029856070475836,0.05576299221202
2,31.754839,82.153226,291.4,1.003226,0.05576299221202,0.026366399900738,0.073094733034675
3,31.057143,84.625,281.1,0.803571,0.073094733034675,0.05576299221202,0.05915398498167
4,32.106452,80.451613,363.6,1.063654,0.05915398498167,0.073094733034675,0.043706129031043
5,33.026667,78.9,179.8,1.612222,0.043706129031043,0.05915398498167,0.042575798107826
6,34.667742,70.169355,52.3,1.303237,0.042575798107826,0.043706129031043,0.043706129031043
7,35.763333,58.175,0,2.737613,0.043706129031043,0.042575798107826,0.017331740822655
8,36.490323,49.629032,0,3.601933,0.017331740822655,0.043706129031043,0.016954963848249
9,37.993548,42.846774,0,3.417204,0.016954963848249,0.017331740822655,0.013187194104194
10,37.32,52.9,82,2.598961,0.013187194104194,0.016954963848249,0.027504719131604
11,35.767742,60.056452,155.4,2.804301,0.027504719131604,0.013187194104194,0.030895711901254
12,33.423333,74.6,191.1,1.768889,0.030895711901254,0.027504719131604,0.05237199944237
1,32.467742,76.467742,247.2,1.10295,0.05237199944237,0.030895711901254,0.059033608823508
2,32.774194,77.604839,152.6,1.535434,0.059033608823508,0.05237199944237,0.145934014358734
3,32.078571,80.294643,201.3,1.246988,0.145934014358734,0.059033608823508,0.323401509207043
4,32.306452,80.233871,145.3,1.476391,0.323401509207043,0.145934014358734,0.253734517427748
5,31.616667,81.566667,308,0.95588,0.253734517427748,0.323401509207043,0.2137676642491
6,34.5,71.185484,103.7,1.790134,0.2137676642491,0.253734517427748,0.152534045158877
7,35.82069,54.766667,0,2.419949,0.152534045158877,0.2137676642491,0.086167068779654
8,36.210714,49.185484,0,2.326087,0.086167068779654,0.152534045158877,0.059033608823508
9,38.275862,38.951613,0,2.368513,0.059033608823508,0.086167068779654,0.029333470222861
10,38.18,47.016667,97.9,1.022424,0.029333470222861,0.059033608823508,0.036666837778576
11,37.136667,56.024194,132.9,1.190703,0.036666837778576,0.029333470222861,0.081400379868439
12,34.626667,72.583333,102.6,0.867641,0.081400379868439,0.036666837778576,0.14886736138102
